id,class,name,rarity,collection,price_usd,owner,transaction_type,date,profit_usd
Skin_AK-47_10,http://example.org/cs2#Skin,AK-47 #10,Classified,http://example.org/cs2#Collection_Vertigo,820.85,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Sale,2024-08-01,52.12
Skin_USP-S_11,http://example.org/cs2#Skin,USP-S #11,MilSpec,http://example.org/cs2#Collection_Overpass,536.49,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Sale,2024-03-06,-40.76
Skin_AK-47_12,http://example.org/cs2#Skin,AK-47 #12,Industrial,http://example.org/cs2#Collection_Vertigo,477.72,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Purchase,2023-09-01,47.66
Skin_Desert Eagle_13,http://example.org/cs2#Skin,Desert Eagle #13,Industrial,http://example.org/cs2#Collection_Nuke,846.83,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Rent,2023-09-28,2.96
Skin_P90_14,http://example.org/cs2#Skin,P90 #14,Consumer,http://example.org/cs2#Collection_Overpass,38.76,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Sale,2024-01-12,104.65
Skin_MP9_15,http://example.org/cs2#Skin,MP9 #15,Covert,http://example.org/cs2#Collection_Mirage,794.63,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Sale,2024-01-06,-33.98
Skin_M4A4_16,http://example.org/cs2#Skin,M4A4 #16,Industrial,http://example.org/cs2#Collection_Ancient,412.53,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Rent,2024-11-26,-11.22
Skin_Desert Eagle_17,http://example.org/cs2#Skin,Desert Eagle #17,MilSpec,http://example.org/cs2#Collection_Overpass,57.2,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Gift,2023-05-27,-33.41
Skin_MP9_18,http://example.org/cs2#Skin,MP9 #18,Industrial,http://example.org/cs2#Collection_Ancient,125.48,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Gift,2023-07-17,76.29
Skin_USP-S_19,http://example.org/cs2#Skin,USP-S #19,MilSpec,http://example.org/cs2#Collection_Nuke,896.04,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Sale,2023-08-19,-4.71
Skin_MP9_20,http://example.org/cs2#Skin,MP9 #20,Restricted,http://example.org/cs2#Collection_Inferno,12.82,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Gift,2024-01-05,13.37
Skin_AK-47_21,http://example.org/cs2#Skin,AK-47 #21,MilSpec,http://example.org/cs2#Collection_Ancient,428.67,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Purchase,2024-06-09,28.47
Skin_AK-47_22,http://example.org/cs2#Skin,AK-47 #22,Consumer,http://example.org/cs2#Collection_Dust2,314.24,http://example.org/cs2#User_Dima,http://example.org/cs2#Transaction_Gift,2024-09-10,-19.63
Skin_USP-S_23,http://example.org/cs2#Skin,USP-S #23,Consumer,http://example.org/cs2#Collection_Overpass,237.12,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Rent,2024-04-01,-37.72
Skin_MP9_24,http://example.org/cs2#Skin,MP9 #24,Restricted,http://example.org/cs2#Collection_Vertigo,776.23,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Rent,2023-06-08,0.78
Skin_USP-S_25,http://example.org/cs2#Skin,USP-S #25,MilSpec,http://example.org/cs2#Collection_Nuke,277.55,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Purchase,2023-03-14,65.84
Skin_MP9_26,http://example.org/cs2#Skin,MP9 #26,Consumer,http://example.org/cs2#Collection_Overpass,549.73,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Rent,2023-10-18,135.75
Skin_AK-47_27,http://example.org/cs2#Skin,AK-47 #27,Covert,http://example.org/cs2#Collection_Dust2,400.82,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Sale,2024-02-04,116.59
Skin_AWP_28,http://example.org/cs2#Skin,AWP #28,Classified,http://example.org/cs2#Collection_Dust2,121.41,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Sale,2024-09-02,122.28
Skin_FAMAS_29,http://example.org/cs2#Skin,FAMAS #29,Classified,http://example.org/cs2#Collection_Overpass,994.95,http://example.org/cs2#User_Dima,http://example.org/cs2#Transaction_Sale,2024-04-08,-19.62
Skin_FAMAS_30,http://example.org/cs2#Skin,FAMAS #30,Restricted,http://example.org/cs2#Collection_Overpass,62.53,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Sale,2023-07-12,63.1
Skin_MAC-10_31,http://example.org/cs2#Skin,MAC-10 #31,MilSpec,http://example.org/cs2#Collection_Vertigo,217.48,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Sale,2023-02-03,121.36
Skin_FAMAS_32,http://example.org/cs2#Skin,FAMAS #32,Consumer,http://example.org/cs2#Collection_Dust2,855.15,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Rent,2023-07-25,95.03
Skin_FAMAS_33,http://example.org/cs2#Skin,FAMAS #33,Consumer,http://example.org/cs2#Collection_Vertigo,20.75,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Gift,2023-03-21,144.77
Skin_FAMAS_34,http://example.org/cs2#Skin,FAMAS #34,Industrial,http://example.org/cs2#Collection_Mirage,467.69,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Sale,2023-03-07,77.62
Skin_MP9_35,http://example.org/cs2#Skin,MP9 #35,Covert,http://example.org/cs2#Collection_Dust2,457.19,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Sale,2023-05-26,17.44
Skin_MAC-10_36,http://example.org/cs2#Skin,MAC-10 #36,Industrial,http://example.org/cs2#Collection_Mirage,396.85,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Purchase,2023-08-02,-26.17
Skin_Desert Eagle_37,http://example.org/cs2#Skin,Desert Eagle #37,MilSpec,http://example.org/cs2#Collection_Inferno,111.39,http://example.org/cs2#User_Dima,http://example.org/cs2#Transaction_Purchase,2023-01-24,38.68
Skin_Desert Eagle_38,http://example.org/cs2#Skin,Desert Eagle #38,MilSpec,http://example.org/cs2#Collection_Dust2,82.68,http://example.org/cs2#User_Ira,http://example.org/cs2#Transaction_Purchase,2023-08-01,-24.53
Skin_MAC-10_39,http://example.org/cs2#Skin,MAC-10 #39,Industrial,http://example.org/cs2#Collection_Inferno,807.42,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Gift,2023-05-19,119.56
Skin_MP9_40,http://example.org/cs2#Skin,MP9 #40,Classified,http://example.org/cs2#Collection_Cache,74.47,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Sale,2024-05-28,140.24
Skin_AK-47_41,http://example.org/cs2#Skin,AK-47 #41,Consumer,http://example.org/cs2#Collection_Vertigo,562.99,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Sale,2023-11-02,17.76
Skin_MAC-10_42,http://example.org/cs2#Skin,MAC-10 #42,Covert,http://example.org/cs2#Collection_Vertigo,821.21,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Rent,2024-10-17,103.33
Skin_FAMAS_43,http://example.org/cs2#Skin,FAMAS #43,Consumer,http://example.org/cs2#Collection_Anubis,446.21,http://example.org/cs2#User_Ira,http://example.org/cs2#Transaction_Gift,2024-01-02,46.73
Skin_USP-S_44,http://example.org/cs2#Skin,USP-S #44,Classified,http://example.org/cs2#Collection_Overpass,998.33,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Purchase,2024-09-15,-29.29
Skin_P90_45,http://example.org/cs2#Skin,P90 #45,Classified,http://example.org/cs2#Collection_Ancient,152.02,http://example.org/cs2#User_Ira,http://example.org/cs2#Transaction_Sale,2023-01-25,-19.78
Skin_AWP_46,http://example.org/cs2#Skin,AWP #46,Consumer,http://example.org/cs2#Collection_Overpass,154.51,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Rent,2023-03-19,78.21
Skin_FAMAS_47,http://example.org/cs2#Skin,FAMAS #47,MilSpec,http://example.org/cs2#Collection_Inferno,698.76,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Sale,2024-01-11,9.13
Skin_MP9_48,http://example.org/cs2#Skin,MP9 #48,Restricted,http://example.org/cs2#Collection_Cache,646.83,http://example.org/cs2#User_Dima,http://example.org/cs2#Transaction_Gift,2023-01-12,140.36
Skin_AK-47_49,http://example.org/cs2#Skin,AK-47 #49,MilSpec,http://example.org/cs2#Collection_Overpass,849.45,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Gift,2024-02-02,-0.9
Skin_Desert Eagle_50,http://example.org/cs2#Skin,Desert Eagle #50,Restricted,http://example.org/cs2#Collection_Mirage,192.9,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Rent,2023-05-29,86.37
Skin_MAC-10_51,http://example.org/cs2#Skin,MAC-10 #51,MilSpec,http://example.org/cs2#Collection_Anubis,479.86,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Purchase,2024-03-27,2.45
Skin_M4A4_52,http://example.org/cs2#Skin,M4A4 #52,Consumer,http://example.org/cs2#Collection_Ancient,775.76,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Sale,2024-03-29,101.21
Skin_M4A4_53,http://example.org/cs2#Skin,M4A4 #53,Consumer,http://example.org/cs2#Collection_Vertigo,601.57,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Rent,2024-04-02,-1.77
Skin_AWP_54,http://example.org/cs2#Skin,AWP #54,Classified,http://example.org/cs2#Collection_Mirage,641.51,http://example.org/cs2#User_Dima,http://example.org/cs2#Transaction_Gift,2024-10-28,127.37
Skin_FAMAS_55,http://example.org/cs2#Skin,FAMAS #55,Consumer,http://example.org/cs2#Collection_Nuke,183.51,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Gift,2023-12-15,102.03
Skin_P90_56,http://example.org/cs2#Skin,P90 #56,Covert,http://example.org/cs2#Collection_Cache,439.03,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Sale,2024-03-20,12.32
Skin_MP9_57,http://example.org/cs2#Skin,MP9 #57,Consumer,http://example.org/cs2#Collection_Inferno,153.6,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Sale,2023-05-10,-10.51
Skin_MAC-10_58,http://example.org/cs2#Skin,MAC-10 #58,Industrial,http://example.org/cs2#Collection_Inferno,352.6,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Purchase,2023-03-20,4.13
Skin_USP-S_59,http://example.org/cs2#Skin,USP-S #59,MilSpec,http://example.org/cs2#Collection_Ancient,393.98,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Rent,2024-07-09,15.14
Skin_FAMAS_60,http://example.org/cs2#Skin,FAMAS #60,Restricted,http://example.org/cs2#Collection_Mirage,431.04,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Sale,2024-01-15,32.14
Skin_USP-S_61,http://example.org/cs2#Skin,USP-S #61,MilSpec,http://example.org/cs2#Collection_Mirage,745.19,http://example.org/cs2#User_Dima,http://example.org/cs2#Transaction_Rent,2024-01-12,36.5
Skin_AWP_62,http://example.org/cs2#Skin,AWP #62,Restricted,http://example.org/cs2#Collection_Dust2,638.75,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Gift,2023-02-15,50.86
Skin_Desert Eagle_63,http://example.org/cs2#Skin,Desert Eagle #63,Classified,http://example.org/cs2#Collection_Overpass,271.54,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Sale,2024-02-12,98.12
Skin_M4A4_64,http://example.org/cs2#Skin,M4A4 #64,Consumer,http://example.org/cs2#Collection_Dust2,618.26,http://example.org/cs2#User_Ira,http://example.org/cs2#Transaction_Purchase,2024-04-20,-10.16
Skin_Glock-18_65,http://example.org/cs2#Skin,Glock-18 #65,MilSpec,http://example.org/cs2#Collection_Inferno,535.89,http://example.org/cs2#User_Ira,http://example.org/cs2#Transaction_Purchase,2024-09-02,26.9
Skin_USP-S_66,http://example.org/cs2#Skin,USP-S #66,Classified,http://example.org/cs2#Collection_Nuke,799.6,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Purchase,2023-01-14,29.85
Skin_M4A4_67,http://example.org/cs2#Skin,M4A4 #67,Industrial,http://example.org/cs2#Collection_Vertigo,266.87,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Gift,2023-10-27,122.44
Skin_FAMAS_68,http://example.org/cs2#Skin,FAMAS #68,Restricted,http://example.org/cs2#Collection_Nuke,716.11,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Rent,2024-09-24,-46.38
Skin_AK-47_69,http://example.org/cs2#Skin,AK-47 #69,Classified,http://example.org/cs2#Collection_Overpass,320.64,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Gift,2024-06-25,-12.39
Skin_Glock-18_70,http://example.org/cs2#Skin,Glock-18 #70,Classified,http://example.org/cs2#Collection_Anubis,396.12,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Rent,2024-08-20,28.17
Skin_FAMAS_71,http://example.org/cs2#Skin,FAMAS #71,Restricted,http://example.org/cs2#Collection_Dust2,195.56,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Sale,2024-03-08,-11.28
Skin_MP9_72,http://example.org/cs2#Skin,MP9 #72,Covert,http://example.org/cs2#Collection_Anubis,65.7,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Rent,2024-04-13,131.75
Skin_AK-47_73,http://example.org/cs2#Skin,AK-47 #73,Restricted,http://example.org/cs2#Collection_Dust2,282.71,http://example.org/cs2#User_Ira,http://example.org/cs2#Transaction_Purchase,2024-08-19,124.55
Skin_Glock-18_74,http://example.org/cs2#Skin,Glock-18 #74,Consumer,http://example.org/cs2#Collection_Anubis,484.67,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Gift,2023-05-10,69.46
Skin_MP9_75,http://example.org/cs2#Skin,MP9 #75,Industrial,http://example.org/cs2#Collection_Vertigo,209.53,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Sale,2023-03-17,6.77
Skin_MAC-10_76,http://example.org/cs2#Skin,MAC-10 #76,Consumer,http://example.org/cs2#Collection_Inferno,213.45,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Gift,2024-04-21,66.0
Skin_Glock-18_77,http://example.org/cs2#Skin,Glock-18 #77,MilSpec,http://example.org/cs2#Collection_Mirage,362.58,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Sale,2023-05-16,22.37
Skin_USP-S_78,http://example.org/cs2#Skin,USP-S #78,Industrial,http://example.org/cs2#Collection_Cache,829.35,http://example.org/cs2#User_Ira,http://example.org/cs2#Transaction_Rent,2023-02-01,14.96
Skin_AK-47_79,http://example.org/cs2#Skin,AK-47 #79,Classified,http://example.org/cs2#Collection_Ancient,825.25,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Gift,2023-05-13,39.05
Skin_AK-47_80,http://example.org/cs2#Skin,AK-47 #80,MilSpec,http://example.org/cs2#Collection_Nuke,23.05,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Gift,2024-06-08,24.04
Skin_USP-S_81,http://example.org/cs2#Skin,USP-S #81,Classified,http://example.org/cs2#Collection_Ancient,556.0,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Purchase,2023-04-27,51.44
Skin_AK-47_82,http://example.org/cs2#Skin,AK-47 #82,Industrial,http://example.org/cs2#Collection_Cache,275.7,http://example.org/cs2#User_Ira,http://example.org/cs2#Transaction_Sale,2024-02-02,145.29
Skin_Glock-18_83,http://example.org/cs2#Skin,Glock-18 #83,MilSpec,http://example.org/cs2#Collection_Vertigo,517.94,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Rent,2024-02-27,1.78
Skin_AWP_84,http://example.org/cs2#Skin,AWP #84,Classified,http://example.org/cs2#Collection_Ancient,734.41,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Gift,2023-10-29,145.9
Skin_USP-S_85,http://example.org/cs2#Skin,USP-S #85,Restricted,http://example.org/cs2#Collection_Inferno,876.54,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Sale,2023-02-02,-27.51
Skin_M4A4_86,http://example.org/cs2#Skin,M4A4 #86,Industrial,http://example.org/cs2#Collection_Inferno,558.46,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Sale,2024-01-07,85.93
Skin_AK-47_87,http://example.org/cs2#Skin,AK-47 #87,Restricted,http://example.org/cs2#Collection_Cache,244.35,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Gift,2023-04-01,25.66
Skin_AWP_88,http://example.org/cs2#Skin,AWP #88,Consumer,http://example.org/cs2#Collection_Vertigo,718.33,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Sale,2024-04-17,121.51
Skin_AK-47_89,http://example.org/cs2#Skin,AK-47 #89,Restricted,http://example.org/cs2#Collection_Mirage,890.59,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Gift,2024-02-18,3.11
Skin_MAC-10_90,http://example.org/cs2#Skin,MAC-10 #90,Industrial,http://example.org/cs2#Collection_Dust2,599.44,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Sale,2024-07-26,106.67
Skin_MP9_91,http://example.org/cs2#Skin,MP9 #91,Industrial,http://example.org/cs2#Collection_Nuke,145.17,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Sale,2024-06-20,51.75
Skin_USP-S_92,http://example.org/cs2#Skin,USP-S #92,Classified,http://example.org/cs2#Collection_Overpass,990.11,http://example.org/cs2#User_Dima,http://example.org/cs2#Transaction_Rent,2023-01-28,15.99
Skin_MAC-10_93,http://example.org/cs2#Skin,MAC-10 #93,MilSpec,http://example.org/cs2#Collection_Anubis,905.05,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Rent,2024-08-09,94.72
Skin_MAC-10_94,http://example.org/cs2#Skin,MAC-10 #94,Industrial,http://example.org/cs2#Collection_Anubis,536.01,http://example.org/cs2#User_Dima,http://example.org/cs2#Transaction_Gift,2023-11-28,34.43
Skin_M4A4_95,http://example.org/cs2#Skin,M4A4 #95,MilSpec,http://example.org/cs2#Collection_Anubis,594.11,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Sale,2024-07-20,83.21
Skin_MAC-10_96,http://example.org/cs2#Skin,MAC-10 #96,Restricted,http://example.org/cs2#Collection_Dust2,380.61,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Rent,2024-07-25,13.89
Skin_FAMAS_97,http://example.org/cs2#Skin,FAMAS #97,Classified,http://example.org/cs2#Collection_Mirage,210.14,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Gift,2024-07-11,52.11
Skin_USP-S_98,http://example.org/cs2#Skin,USP-S #98,Restricted,http://example.org/cs2#Collection_Dust2,146.4,http://example.org/cs2#User_Ira,http://example.org/cs2#Transaction_Gift,2023-11-13,129.2
Skin_MAC-10_99,http://example.org/cs2#Skin,MAC-10 #99,Industrial,http://example.org/cs2#Collection_Dust2,508.41,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Gift,2023-08-09,109.15
Skin_AWP_100,http://example.org/cs2#Skin,AWP #100,Restricted,http://example.org/cs2#Collection_Cache,378.09,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Rent,2023-09-14,40.9
Skin_AK-47_101,http://example.org/cs2#Skin,AK-47 #101,Industrial,http://example.org/cs2#Collection_Inferno,148.87,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Rent,2024-05-11,115.47
Skin_MP9_102,http://example.org/cs2#Skin,MP9 #102,Classified,http://example.org/cs2#Collection_Nuke,92.97,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Rent,2024-07-08,131.07
Skin_P90_103,http://example.org/cs2#Skin,P90 #103,MilSpec,http://example.org/cs2#Collection_Anubis,86.21,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Gift,2024-01-18,1.41
Skin_P90_104,http://example.org/cs2#Skin,P90 #104,Covert,http://example.org/cs2#Collection_Nuke,893.37,http://example.org/cs2#User_Katya,http://example.org/cs2#Transaction_Rent,2023-05-26,73.53
Skin_M4A4_105,http://example.org/cs2#Skin,M4A4 #105,Restricted,http://example.org/cs2#Collection_Dust2,176.9,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Purchase,2024-10-15,-5.12
Skin_P90_106,http://example.org/cs2#Skin,P90 #106,Industrial,http://example.org/cs2#Collection_Overpass,932.97,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Rent,2024-05-31,12.62
Skin_P90_107,http://example.org/cs2#Skin,P90 #107,MilSpec,http://example.org/cs2#Collection_Cache,113.51,http://example.org/cs2#User_Dima,http://example.org/cs2#Transaction_Rent,2024-02-20,76.33
Skin_AK-47_108,http://example.org/cs2#Skin,AK-47 #108,Covert,http://example.org/cs2#Collection_Vertigo,194.4,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Sale,2023-07-02,106.38
Skin_MP9_109,http://example.org/cs2#Skin,MP9 #109,Industrial,http://example.org/cs2#Collection_Mirage,752.77,http://example.org/cs2#User_Ira,http://example.org/cs2#Transaction_Rent,2023-06-13,26.69
Skin_USP-S_110,http://example.org/cs2#Skin,USP-S #110,Industrial,http://example.org/cs2#Collection_Dust2,7.72,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Gift,2024-07-27,101.29
Skin_M4A4_111,http://example.org/cs2#Skin,M4A4 #111,Restricted,http://example.org/cs2#Collection_Dust2,961.36,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Sale,2024-02-22,142.52
Skin_P90_112,http://example.org/cs2#Skin,P90 #112,Classified,http://example.org/cs2#Collection_Vertigo,540.95,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Rent,2024-02-10,-25.52
Skin_FAMAS_113,http://example.org/cs2#Skin,FAMAS #113,Classified,http://example.org/cs2#Collection_Nuke,880.76,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Gift,2024-08-18,-14.6
Skin_M4A4_114,http://example.org/cs2#Skin,M4A4 #114,Industrial,http://example.org/cs2#Collection_Anubis,320.96,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Gift,2023-06-05,9.64
Skin_FAMAS_115,http://example.org/cs2#Skin,FAMAS #115,Consumer,http://example.org/cs2#Collection_Ancient,26.13,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Sale,2024-10-08,31.9
Skin_P90_116,http://example.org/cs2#Skin,P90 #116,Classified,http://example.org/cs2#Collection_Vertigo,363.27,http://example.org/cs2#User_Oleg,http://example.org/cs2#Transaction_Rent,2024-03-18,45.83
Skin_FAMAS_117,http://example.org/cs2#Skin,FAMAS #117,Classified,http://example.org/cs2#Collection_Dust2,630.47,http://example.org/cs2#User_Sasha,http://example.org/cs2#Transaction_Purchase,2023-06-28,77.53
Skin_P90_118,http://example.org/cs2#Skin,P90 #118,Industrial,http://example.org/cs2#Collection_Cache,730.63,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Rent,2023-05-18,69.44
Skin_AWP_119,http://example.org/cs2#Skin,AWP #119,Consumer,http://example.org/cs2#Collection_Ancient,873.18,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Sale,2024-08-30,146.0
Skin_AK-47_120,http://example.org/cs2#Skin,AK-47 #120,Classified,http://example.org/cs2#Collection_Inferno,188.78,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Rent,2024-03-08,116.03
Skin_MP9_121,http://example.org/cs2#Skin,MP9 #121,Industrial,http://example.org/cs2#Collection_Cache,923.92,http://example.org/cs2#User_Ira,http://example.org/cs2#Transaction_Purchase,2023-05-27,-1.94
Skin_AWP_122,http://example.org/cs2#Skin,AWP #122,Restricted,http://example.org/cs2#Collection_Vertigo,476.56,http://example.org/cs2#User_Egor,http://example.org/cs2#Transaction_Rent,2023-09-24,77.29
Skin_FAMAS_123,http://example.org/cs2#Skin,FAMAS #123,Covert,http://example.org/cs2#Collection_Vertigo,778.85,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Sale,2024-05-18,133.18
Skin_FAMAS_124,http://example.org/cs2#Skin,FAMAS #124,Restricted,http://example.org/cs2#Collection_Ancient,387.17,http://example.org/cs2#User_Masha,http://example.org/cs2#Transaction_Purchase,2023-02-06,147.87
Skin_P90_125,http://example.org/cs2#Skin,P90 #125,Industrial,http://example.org/cs2#Collection_Inferno,921.43,http://example.org/cs2#User_Lena,http://example.org/cs2#Transaction_Purchase,2024-05-08,86.69
Skin_MAC-10_126,http://example.org/cs2#Skin,MAC-10 #126,MilSpec,http://example.org/cs2#Collection_Dust2,212.53,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Rent,2024-07-19,149.6
Skin_M4A4_127,http://example.org/cs2#Skin,M4A4 #127,Classified,http://example.org/cs2#Collection_Vertigo,808.98,http://example.org/cs2#User_Petya,http://example.org/cs2#Transaction_Sale,2023-06-16,15.5
Skin_MP9_128,http://example.org/cs2#Skin,MP9 #128,Classified,http://example.org/cs2#Collection_Nuke,911.6,http://example.org/cs2#User_Vanya,http://example.org/cs2#Transaction_Purchase,2024-07-12,134.14
